cond,item_id,set,stat,ground_truth,repetition,knowledge_level
1,1,1,n_c_e,true,new,preschool
1,2,1,n_c_e,true,new,preschool
1,3,1,n_c_e,true,new,preschool
1,4,1,n_c_e,true,new,preschool
1,5,2,n_c_m,true,new,elementary
1,6,2,n_c_m,true,new,elementary
1,7,2,n_c_m,true,new,elementary
1,8,2,n_c_m,true,new,elementary
1,9,3,n_c_h,true,new,middle
1,10,3,n_c_h,true,new,middle
1,11,3,n_c_h,true,new,middle
1,12,3,n_c_h,true,new,middle
1,13,4,n_i_e,false,new,preschool
1,14,4,n_i_e,false,new,preschool
1,15,4,n_i_e,false,new,preschool
1,16,4,n_i_e,false,new,preschool
1,17,5,n_i_m,false,new,elementary
1,18,5,n_i_m,false,new,elementary
1,19,5,n_i_m,false,new,elementary
1,20,5,n_i_m,false,new,elementary
1,21,6,n_i_h,false,new,middle
1,22,6,n_i_h,false,new,middle
1,23,6,n_i_h,false,new,middle
1,24,6,n_i_h,false,new,middle
1,25,7,r_c_e,true,repeated,preschool
1,26,7,r_c_e,true,repeated,preschool
1,27,7,r_c_e,true,repeated,preschool
1,28,7,r_c_e,true,repeated,preschool
1,29,8,r_c_m,true,repeated,elementary
1,30,8,r_c_m,true,repeated,elementary
1,31,8,r_c_m,true,repeated,elementary
1,32,8,r_c_m,true,repeated,elementary
1,33,9,r_c_h,true,repeated,middle
1,34,9,r_c_h,true,repeated,middle
1,35,9,r_c_h,true,repeated,middle
1,36,9,r_c_h,true,repeated,middle
1,37,10,r_i_e,false,repeated,preschool
1,38,10,r_i_e,false,repeated,preschool
1,39,10,r_i_e,false,repeated,preschool
1,40,10,r_i_e,false,repeated,preschool
1,41,11,r_i_m,false,repeated,elementary
1,42,11,r_i_m,false,repeated,elementary
1,43,11,r_i_m,false,repeated,elementary
1,44,11,r_i_m,false,repeated,elementary
1,45,12,r_i_h,false,repeated,middle
1,46,12,r_i_h,false,repeated,middle
1,47,12,r_i_h,false,repeated,middle
1,48,12,r_i_h,false,repeated,middle
